"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.11.2025","14,000","14,140","14,691","13,700","24,02K","-0,36%"
"24.11.2025","14,050","13,160","14,195","13,160","43,68K","7,58%"
"21.11.2025","13,060","13,250","13,270","12,840","24,80K","-0,15%"
"20.11.2025","13,080","13,270","13,430","12,760","83,75K","0,38%"
"19.11.2025","13,030","13,328","13,344","13,010","39,28K","0,23%"
"18.11.2025","13,000","13,100","13,500","12,940","67,68K","-0,54%"
"17.11.2025","13,070","12,970","13,230","12,855","115,62K","0,38%"
"14.11.2025","13,020","12,850","13,195","12,850","32,84K","0,31%"
"13.11.2025","12,980","12,890","13,115","12,720","44,67K","-0,54%"
"12.11.2025","13,050","12,710","13,450","12,680","65,98K","-1,51%"
"11.11.2025","13,250","13,100","13,250","13,000","58,90K","1,07%"
"10.11.2025","13,110","12,900","13,240","12,800","46,76K","-0,15%"
"07.11.2025","13,130","13,110","13,200","12,870","144,46K","0,23%"
"06.11.2025","13,100","12,440","13,190","12,440","111,93K","5,39%"
"05.11.2025","12,430","12,420","12,941","12,420","44,48K","-0,08%"
"04.11.2025","12,440","12,360","12,650","12,100","101,07K","0,73%"
"03.11.2025","12,350","12,740","12,740","12,000","109,94K","-3,14%"
"31.10.2025","12,750","12,420","12,840","12,420","29,29K","1,92%"
"30.10.2025","12,510","12,710","12,755","12,300","62,32K","0,08%"
"29.10.2025","12,500","12,510","12,870","12,390","30,62K","0,00%"
"28.10.2025","12,500","12,930","13,270","12,307","57,92K","-3,85%"
"27.10.2025","13,000","12,800","13,110","12,500","32,59K","2,44%"
"24.10.2025","12,690","12,950","13,200","12,525","56,96K","-0,78%"
"23.10.2025","12,790","12,570","13,000","12,365","83,12K","0,47%"
"22.10.2025","12,730","12,650","12,780","11,955","80,67K","0,63%"
"21.10.2025","12,650","12,555","12,980","12,420","56,37K","0,96%"
"20.10.2025","12,530","12,530","12,845","12,390","79,73K","-0,08%"
"17.10.2025","12,540","12,210","12,675","11,685","115,48K","1,54%"
"16.10.2025","12,350","11,300","12,550","11,260","608,27K","9,39%"
"15.10.2025","11,290","10,520","11,828","10,520","91,17K","8,66%"
"14.10.2025","10,390","10,130","10,480","9,810","115,01K","1,37%"
"13.10.2025","10,250","11,510","12,271","10,100","182,50K","-9,69%"
"10.10.2025","11,350","12,180","12,180","11,280","75,21K","-7,50%"
"09.10.2025","12,270","12,100","12,575","12,015","43,11K","1,74%"
"08.10.2025","12,060","11,390","12,430","11,390","186,25K","6,82%"
"07.10.2025","11,290","11,700","11,700","10,960","176,09K","-2,67%"
"06.10.2025","11,600","11,860","11,915","11,590","42,06K","-1,02%"
"03.10.2025","11,720","12,190","12,190","11,530","99,45K","-2,58%"
"02.10.2025","12,030","12,020","12,240","11,830","44,28K","1,09%"
"01.10.2025","11,900","11,900","12,419","11,845","175,34K","0,08%"
"30.09.2025","11,890","12,250","12,495","11,550","72,66K","-3,25%"
"29.09.2025","12,290","12,540","12,800","12,020","74,30K","-1,13%"
"26.09.2025","12,430","12,210","12,655","12,170","42,91K","0,16%"
"25.09.2025","12,410","12,900","12,960","12,270","68,27K","-4,39%"
"24.09.2025","12,980","12,970","13,260","12,890","73,67K","0,23%"
"23.09.2025","12,950","13,270","13,270","12,740","153,11K","-1,22%"
"22.09.2025","13,110","12,610","13,500","12,610","155,67K","1,47%"
"19.09.2025","12,920","13,200","13,200","12,515","555,55K","-0,15%"
"18.09.2025","12,940","12,675","13,200","12,675","157,86K","1,09%"
"17.09.2025","12,800","12,250","13,205","12,250","212,06K","2,40%"
"16.09.2025","12,500","12,030","12,900","12,030","105,33K","2,29%"
"15.09.2025","12,220","12,760","12,930","12,070","68,80K","-2,16%"
"12.09.2025","12,490","12,380","12,980","12,090","103,62K","-0,48%"
"11.09.2025","12,550","12,260","13,005","12,260","236,26K","2,62%"
"10.09.2025","12,230","12,530","13,030","12,093","161,06K","-2,55%"
"09.09.2025","12,550","12,690","13,120","12,540","75,53K","-3,09%"
"08.09.2025","12,950","13,850","13,880","12,780","91,48K","-9,06%"
"05.09.2025","14,240","13,880","14,495","13,710","137,89K","4,02%"
"04.09.2025","13,690","13,370","13,800","13,010","64,24K","3,48%"
"03.09.2025","13,230","13,450","13,680","12,960","92,91K","-3,29%"
"02.09.2025","13,680","14,495","14,740","13,430","109,85K","-5,00%"
"29.08.2025","14,400","14,100","14,585","13,760","49,64K","1,77%"
"28.08.2025","14,150","14,600","14,865","13,860","52,67K","-0,70%"
"27.08.2025","14,250","14,885","14,885","14,200","61,15K","-1,52%"
"26.08.2025","14,470","14,900","16,000","14,270","122,50K","-1,56%"
"25.08.2025","14,700","15,770","15,770","14,550","98,38K","-2,39%"
"22.08.2025","15,060","14,730","15,500","14,730","44,95K","4,58%"
"21.08.2025","14,400","14,210","14,630","13,810","44,93K","4,35%"
"20.08.2025","13,800","13,500","13,990","13,500","61,67K","1,47%"
"19.08.2025","13,600","13,920","14,255","13,510","53,46K","-1,38%"
"18.08.2025","13,790","13,800","14,000","13,396","471,92K","0,00%"
"15.08.2025","13,790","14,190","14,190","13,750","31,92K","-1,01%"
"14.08.2025","13,930","13,940","14,000","13,860","56,60K","0,22%"
"13.08.2025","13,900","13,480","14,250","13,360","208,86K","7,09%"
"12.08.2025","12,980","12,920","13,293","12,850","95,27K","0,62%"
"11.08.2025","12,900","13,520","13,520","12,445","64,71K","0,39%"
"08.08.2025","12,850","10,830","12,920","10,830","44,50K","16,82%"
"07.08.2025","11,000","11,210","11,305","10,920","101,51K","0,00%"
"06.08.2025","11,000","11,770","11,770","10,900","34,92K","-5,17%"
"05.08.2025","11,600","11,840","11,940","11,400","135,40K","-2,03%"
"04.08.2025","11,840","12,146","12,203","11,326","130,63K","-1,33%"
"01.08.2025","12,000","12,110","12,420","11,890","68,16K","-3,38%"
"31.07.2025","12,420","12,320","12,796","12,320","73,31K","-1,43%"
"30.07.2025","12,600","12,300","13,050","12,300","122,59K","2,44%"
"29.07.2025","12,300","13,260","13,421","12,080","83,74K","-7,17%"
"28.07.2025","13,250","13,040","13,445","13,040","61,96K","-0,30%"
"25.07.2025","13,290","13,090","13,500","13,000","81,45K","2,07%"
"24.07.2025","13,020","13,370","13,370","12,700","120,13K","-1,21%"
"23.07.2025","13,180","12,900","13,415","12,690","120,71K","1,07%"
"22.07.2025","13,040","13,390","13,510","12,830","79,36K","-1,21%"
"21.07.2025","13,200","13,510","13,590","12,640","125,98K","-1,05%"
"18.07.2025","13,340","13,030","14,013","13,030","120,16K","2,46%"
"17.07.2025","13,020","13,190","13,620","12,690","124,92K","-0,91%"
"16.07.2025","13,140","11,810","13,883","11,765","222,37K","11,88%"
"15.07.2025","11,745","12,800","13,038","11,510","180,67K","-8,24%"
"14.07.2025","12,800","13,420","13,850","12,700","140,27K","-1,23%"
"11.07.2025","12,960","13,130","13,815","12,705","342,76K","-4,00%"
"10.07.2025","13,500","14,840","14,850","13,420","321,49K","-8,72%"
"09.07.2025","14,790","15,300","15,435","14,690","87,76K","-1,99%"
"08.07.2025","15,090","15,660","16,020","14,751","114,06K","-1,31%"
"07.07.2025","15,290","15,950","16,025","15,010","103,99K","-3,78%"
"03.07.2025","15,890","15,860","16,980","15,360","171,07K","2,22%"
"02.07.2025","15,545","16,250","17,390","15,140","106,46K","-3,75%"
"01.07.2025","16,150","16,130","16,735","16,060","66,80K","0,06%"
"30.06.2025","16,140","16,000","17,100","15,800","50,45K","1,51%"
"27.06.2025","15,900","16,820","17,690","15,900","54,40K","-5,92%"
"26.06.2025","16,900","15,510","18,890","15,510","109,25K","-6,11%"
"25.06.2025","18,000","16,000","21,400","15,490","126,20K","19,48%"
"24.06.2025","15,065","16,972","16,990","14,700","29,56K","-1,54%"
"23.06.2025","15,300","15,000","20,990","14,330","38,16K","2,00%"
"20.06.2025","15,000","15,860","15,990","14,885","15,55K","2,60%"
"18.06.2025","14,620","11,060","15,810","11,060","97,59K","10,17%"
"17.06.2025","13,270","15,960","15,960","12,920","18,83K","-15,99%"
"16.06.2025","15,795","19,320","19,320","14,910","21,76K","0,61%"
"13.06.2025","15,700","16,720","17,000","15,300","10,69K","-5,42%"
"12.06.2025","16,600","16,100","17,250","15,350","18,87K","0,00%"
"11.06.2025","16,600","17,910","17,910","16,000","17,92K","-2,58%"
"10.06.2025","17,040","17,160","17,500","15,150","18,71K","-3,51%"
"09.06.2025","17,660","17,930","18,400","17,220","29,95K","-8,88%"
"06.06.2025","19,380","20,850","21,180","17,740","587,06K","-2,42%"
"05.06.2025","19,860","20,000","20,790","19,860","275,07K","-5,43%"
"04.06.2025","21,000","20,600","21,740","20,050","3,08K","0,48%"
"03.06.2025","20,900","20,120","21,300","20,030","2,45K","3,47%"
"02.06.2025","20,200","20,800","21,960","19,550","4,53K","-3,76%"
"30.05.2025","20,990","21,250","22,300","20,310","5,87K","-1,55%"
"29.05.2025","21,320","21,900","21,900","19,680","4,05K","-2,29%"
"28.05.2025","21,820","22,500","23,260","20,390","7,93K","-4,63%"
"27.05.2025","22,880","24,000","25,000","21,760","5,37K","-6,31%"
"23.05.2025","24,420","23,800","24,740","23,510","1,24K","-1,53%"
"22.05.2025","24,800","24,780","25,140","24,380","1,01K","-0,08%"
"21.05.2025","24,820","26,000","26,950","24,760","1,70K","-5,16%"
"20.05.2025","26,170","26,800","27,500","24,910","3,20K","0,73%"
"19.05.2025","25,980","23,300","26,000","23,300","1,36K","5,18%"
"16.05.2025","24,700","25,310","26,700","24,700","1,74K","-1,12%"
"15.05.2025","24,980","23,180","24,990","23,180","7,71K","4,52%"
"14.05.2025","23,900","26,500","26,500","23,210","5,70K","-5,50%"
"13.05.2025","25,290","26,140","26,140","24,755","2,84K","-1,52%"
"12.05.2025","25,680","24,700","26,350","24,130","4,55K","6,91%"
"09.05.2025","24,020","25,070","25,570","23,770","1,44K","-0,95%"
"08.05.2025","24,250","25,000","25,750","23,400","2,18K","0,37%"
"07.05.2025","24,160","24,900","24,900","24,000","0,84K","0,21%"
"06.05.2025","24,110","27,470","27,970","23,500","5,76K","-12,23%"
"05.05.2025","27,470","27,300","28,770","26,550","2,11K","5,01%"
"02.05.2025","26,160","25,490","27,800","25,490","3,95K","-0,46%"
"01.05.2025","26,280","25,000","26,640","23,800","2,21K","4,49%"
"30.04.2025","25,150","24,350","26,520","23,510","3,64K","6,48%"
"29.04.2025","23,620","25,670","26,130","22,750","6,80K","-9,33%"
"28.04.2025","26,050","25,930","27,110","25,650","1,60K","-0,19%"
"25.04.2025","26,100","25,000","27,500","24,820","6,58K","4,11%"
"24.04.2025","25,070","24,840","26,420","24,110","10,60K","5,03%"
"23.04.2025","23,870","27,000","27,430","23,490","35,48K","5,39%"
"22.04.2025","22,650","22,080","23,000","22,080","0,68K","2,95%"
"21.04.2025","22,000","22,270","22,300","21,080","0,87K","-1,35%"
"17.04.2025","22,300","22,550","23,190","21,600","0,37K","0,45%"
"16.04.2025","22,200","23,000","23,255","22,000","0,82K","-2,55%"
"15.04.2025","22,780","22,000","23,000","21,870","1,34K","2,61%"
"14.04.2025","22,200","19,770","22,770","19,770","5,68K","9,96%"
"11.04.2025","20,190","19,270","20,560","19,000","1,25K","3,75%"
"10.04.2025","19,460","19,800","20,400","19,000","1,56K","1,25%"
"09.04.2025","19,220","17,830","20,300","17,420","2,37K","4,57%"
"08.04.2025","18,380","18,800","20,100","17,810","3,99K","4,25%"
"07.04.2025","17,630","18,000","18,410","17,040","5,01K","-2,06%"
"04.04.2025","18,000","18,110","20,120","17,527","8,83K","-2,76%"
"03.04.2025","18,510","21,000","21,000","18,260","2,62K","-11,73%"
"02.04.2025","20,970","20,100","21,900","19,000","2,35K","4,28%"
"01.04.2025","20,110","20,900","21,300","20,110","2,29K","-4,24%"
"31.03.2025","21,000","21,700","21,700","21,000","2,02K","-3,76%"
"28.03.2025","21,820","24,730","24,730","21,820","4,89K","-10,68%"
"27.03.2025","24,430","24,410","24,620","23,770","0,84K","0,08%"
"26.03.2025","24,410","25,690","26,300","24,090","1,92K","-5,24%"
"25.03.2025","25,760","26,100","26,500","25,160","1,06K","-2,31%"
"24.03.2025","26,370","26,200","27,070","26,190","2,07K","-2,33%"
"21.03.2025","27,000","27,700","27,750","25,560","6,05K","-0,52%"
"20.03.2025","27,140","27,860","28,500","27,140","1,73K","-2,02%"
"19.03.2025","27,700","27,500","28,500","26,605","1,98K","2,25%"
"18.03.2025","27,090","26,120","27,830","26,120","1,54K","0,59%"
"17.03.2025","26,930","26,060","28,000","26,060","2,30K","2,12%"
"14.03.2025","26,370","26,700","27,300","26,300","1,72K","1,58%"
"13.03.2025","25,960","25,000","26,780","24,760","2,38K","0,23%"
"12.03.2025","25,900","26,000","26,490","24,000","2,77K","-1,71%"
"11.03.2025","26,350","25,940","26,990","24,800","1,60K","0,96%"
"10.03.2025","26,100","27,000","27,100","25,790","1,71K","-4,22%"
"07.03.2025","27,250","25,930","27,840","25,340","1,50K","2,68%"
"06.03.2025","26,540","26,700","27,130","25,020","3,84K","-0,67%"
"05.03.2025","26,720","24,540","27,270","24,140","1,60K","8,49%"
"04.03.2025","24,630","25,700","25,700","24,380","3,12K","-4,79%"
"03.03.2025","25,870","26,380","26,960","25,850","3,98K","-4,82%"
"28.02.2025","27,180","25,310","27,700","25,260","4,43K","4,18%"
"27.02.2025","26,090","27,940","28,840","25,290","4,70K","-7,35%"
"26.02.2025","28,160","25,630","29,060","25,630","3,76K","3,83%"
"25.02.2025","27,120","27,370","28,490","26,590","5,67K","-3,35%"
"24.02.2025","28,060","28,410","29,230","27,510","10,31K","-4,85%"
"21.02.2025","29,490","28,200","30,990","28,100","11,20K","-2,19%"
"20.02.2025","30,150","27,910","31,140","25,390","23,00K","-3,02%"
"19.02.2025","31,090","31,520","33,030","28,730","42,61K","-13,40%"
"18.02.2025","35,900","35,110","37,000","30,610","470,12K","23,79%"
"14.02.2025","29,000","29,000","30,000","26,000","131,36K","2,18%"
"13.02.2025","28,380","25,000","29,000","25,000","7,30K","9,24%"
"12.02.2025","25,980","26,770","27,870","25,715","1,25K","-5,87%"
"11.02.2025","27,600","25,180","28,000","25,010","3,26K","5,87%"
"10.02.2025","26,070","27,370","27,700","25,610","1,44K","-1,66%"
"07.02.2025","26,510","27,000","27,190","26,100","2,48K","-2,50%"
"06.02.2025","27,190","29,000","29,000","26,132","2,00K","-2,54%"
"05.02.2025","27,900","26,290","28,599","26,290","2,70K","2,95%"
"04.02.2025","27,100","26,200","27,470","25,510","2,71K","3,44%"
"03.02.2025","26,200","23,500","26,630","23,440","2,42K","-2,31%"
"31.01.2025","26,820","30,000","30,000","26,280","3,60K","-6,75%"
"30.01.2025","28,760","25,400","28,990","25,400","10,94K","13,86%"
"29.01.2025","25,260","25,320","25,670","24,260","1,78K","0,16%"
"28.01.2025","25,220","25,640","26,610","25,000","0,84K","-2,44%"
"27.01.2025","25,850","27,230","27,230","25,300","2,00K","-5,07%"
"24.01.2025","27,230","26,500","27,440","26,000","2,38K","0,93%"
"23.01.2025","26,980","25,250","26,980","25,020","1,29K","4,98%"
"22.01.2025","25,700","25,710","27,440","25,700","1,88K","-2,24%"
"21.01.2025","26,290","26,500","26,500","25,000","1,38K","1,12%"
"17.01.2025","26,000","25,300","27,500","25,300","2,26K","3,09%"
"16.01.2025","25,220","25,460","26,260","25,000","1,45K","-0,55%"
"15.01.2025","25,360","25,000","25,730","24,060","1,82K","1,00%"
"14.01.2025","25,110","24,800","26,130","24,220","1,06K","0,08%"
"13.01.2025","25,090","25,710","26,290","23,550","2,49K","-5,32%"
"10.01.2025","26,500","26,430","27,180","26,000","1,57K","-4,26%"
"08.01.2025","27,680","27,470","29,920","25,500","5,47K","-2,57%"
"07.01.2025","28,410","29,000","29,500","27,720","4,36K","0,04%"
"06.01.2025","28,400","29,200","29,880","28,000","5,12K","2,53%"
"03.01.2025","27,700","26,480","29,530","26,120","6,03K","8,50%"
"02.01.2025","25,530","24,970","28,510","24,310","5,55K","2,53%"
"31.12.2024","24,900","25,900","26,210","23,500","8,29K","0,12%"
"30.12.2024","24,870","24,800","26,600","23,660","9,71K","5,20%"
