Data,Preco_Etanol_Diario
2002-11-29,0.6842
2002-11-30,0.6842
2002-12-01,0.6842
2002-12-02,0.6842
2002-12-03,0.6842
2002-12-04,0.6842
2002-12-05,0.6842
2002-12-06,0.6897
2002-12-07,0.6897
2002-12-08,0.6897
2002-12-09,0.6897
2002-12-10,0.6897
2002-12-11,0.6897
2002-12-12,0.6897
2002-12-13,0.6926
2002-12-14,0.6926
2002-12-15,0.6926
2002-12-16,0.6926
2002-12-17,0.6926
2002-12-18,0.6926
2002-12-19,0.6926
2002-12-20,0.7065
2002-12-21,0.7065
2002-12-22,0.7065
2002-12-23,0.7065
2002-12-24,0.7065
2002-12-25,0.7065
2002-12-26,0.7065
2002-12-27,0.6941
2002-12-28,0.6941
2002-12-29,0.6941
2002-12-30,0.6941
2002-12-31,0.6941
2003-01-01,0.6941
2003-01-02,0.6941
2003-01-03,0.7281
2003-01-04,0.7281
2003-01-05,0.7281
2003-01-06,0.7281
2003-01-07,0.7281
2003-01-08,0.7281
2003-01-09,0.7281
2003-01-10,0.7927
2003-01-11,0.7927
2003-01-12,0.7927
2003-01-13,0.7927
2003-01-14,0.7927
2003-01-15,0.7927
2003-01-16,0.7927
2003-01-17,0.8195
2003-01-18,0.8195
2003-01-19,0.8195
2003-01-20,0.8195
2003-01-21,0.8195
2003-01-22,0.8195
2003-01-23,0.8195
2003-01-24,0.861
2003-01-25,0.861
2003-01-26,0.861
2003-01-27,0.861
2003-01-28,0.861
2003-01-29,0.861
2003-01-30,0.861
2003-01-31,0.8577
2003-02-01,0.8577
2003-02-02,0.8577
2003-02-03,0.8577
2003-02-04,0.8577
2003-02-05,0.8577
2003-02-06,0.8577
2003-02-07,0.884
2003-02-08,0.884
2003-02-09,0.884
2003-02-10,0.884
2003-02-11,0.884
2003-02-12,0.884
2003-02-13,0.884
2003-02-14,0.8621
2003-02-15,0.8621
2003-02-16,0.8621
2003-02-17,0.8621
2003-02-18,0.8621
2003-02-19,0.8621
2003-02-20,0.8621
2003-02-21,0.8696
2003-02-22,0.8696
2003-02-23,0.8696
2003-02-24,0.8696
2003-02-25,0.8696
2003-02-26,0.8696
2003-02-27,0.8696
2003-02-28,0.872
2003-03-01,0.872
2003-03-02,0.872
2003-03-03,0.872
2003-03-04,0.872
2003-03-05,0.872
2003-03-06,0.872
2003-03-07,0.8959
2003-03-08,0.8959
2003-03-09,0.8959
2003-03-10,0.8959
2003-03-11,0.8959
2003-03-12,0.8959
2003-03-13,0.8959
2003-03-14,0.8966
2003-03-15,0.8966
2003-03-16,0.8966
2003-03-17,0.8966
2003-03-18,0.8966
2003-03-19,0.8966
2003-03-20,0.8966
