data,Preco
2020-06-01,285.0
2020-06-02,284.0
2020-06-03,283.0
2020-06-04,287.0
2020-06-05,295.0
2020-06-08,320.0
2020-06-09,308.0
2020-06-10,294.0
2020-06-11,267.0
2020-06-12,300.0
2020-06-15,303.0
2020-06-16,312.0
2020-06-17,299.0
2020-06-18,302.0
2020-06-19,298.0
2020-06-22,308.0
2020-06-23,306.0
2020-06-24,300.0
2020-06-25,301.0
2020-06-26,346.0
2020-06-29,374.0
2020-06-30,376.0
2020-07-01,383.0
2020-07-02,376.0
2020-07-06,380.0
2020-07-07,375.0
2020-07-08,394.0
2020-07-09,402.0
2020-07-10,401.0
2020-07-13,388.0
2020-07-14,401.0
2020-07-15,436.5
2020-07-16,434.0
2020-07-17,465.0
2020-07-20,500.0
2020-07-21,482.0
2020-07-22,483.0
2020-07-23,470.0
2020-07-24,447.0
2020-07-27,461.0
2020-07-28,440.0
2020-07-29,429.0
2020-07-30,415.0
2020-07-31,394.0
2020-08-03,400.0
2020-08-04,393.0
2020-08-05,386.0
2020-08-06,388.0
2020-08-07,391.0
2020-08-10,400.0
2020-08-11,375.0
2020-08-12,375.0
2020-08-13,378.0
2020-08-14,370.0
2020-08-17,385.0
2020-08-18,374.0
2020-08-19,372.0
2020-08-20,374.0
2020-08-21,357.0
2020-08-24,346.0
2020-08-25,358.0
2020-08-26,361.0
2020-08-27,361.0
2020-08-28,377.0
2020-08-31,369.0
2020-09-01,378.0
2020-09-02,372.0
2020-09-03,339.0
2020-09-04,332.0
2020-09-08,342.0
2020-09-09,344.0
2020-09-10,340.0
2020-09-11,337.0
2020-09-14,356.0
2020-09-15,356.0
2020-09-16,372.0
2020-09-17,370.5
2020-09-18,361.0
2020-09-21,352.0
2020-09-22,341.0
2020-09-23,331.5
2020-09-24,323.0
2020-09-25,323.0
2020-09-28,326.0
2020-09-29,312.0
2020-09-30,307.0
2020-10-01,318.0
2020-10-02,313.0
2020-10-05,327.0
2020-10-06,341.0
2020-10-07,350.0
2020-10-08,353.0
2020-10-09,355.0
2020-10-12,358.0
2020-10-13,356.0
2020-10-14,343.0
2020-10-15,328.0
2020-10-16,335.0
2020-10-19,328.0
2020-10-20,334.0
2020-10-21,319.0
2020-10-22,322.0
2020-10-23,323.0
2020-10-26,332.0
2020-10-27,326.0
2020-10-28,298.0
2020-10-29,288.0
2020-10-30,280.0
2020-11-02,271.0
2020-11-03,269.0
2020-11-04,296.0
2020-11-05,305.0
2020-11-06,298.0
2020-11-09,312.0
2020-11-10,335.0
2020-11-11,365.0
2020-11-12,360.0
2020-11-13,349.0
2020-11-16,377.0
2020-11-17,402.0
2020-11-18,403.0
2020-11-19,382.0
2020-11-20,366.0
2020-11-23,365.0
2020-11-24,360.0
2020-11-25,361.0
2020-11-27,366.0
2020-11-30,376.0
2020-12-01,375.0
2020-12-02,388.0
2020-12-03,364.0
2020-12-04,373.0
2020-12-07,380.0
2020-12-08,369.0
2020-12-09,350.0
2020-12-10,356.0
2020-12-11,370.0
2020-12-14,364.0
2020-12-15,356.0
2020-12-16,354.0
2020-12-17,359.0
2020-12-18,364.0
2020-12-21,397.0
2020-12-22,410.0
2020-12-23,424.0
2020-12-24,412.0
2020-12-28,385.0
2020-12-29,376.0
2020-12-30,379.0
2020-12-31,376.0
2021-01-04,373.0
2021-01-05,364.0
2021-01-06,370.0
2021-01-07,386.0
2021-01-08,378.0
2021-01-11,375.0
2021-01-12,375.0
2021-01-13,372.0
2021-01-14,376.0
2021-01-15,385.0
2021-01-19,379.0
2021-01-20,381.0
2021-01-21,384.0
2021-01-22,389.0
2021-01-25,410.0
2021-01-26,403.0
2021-01-27,379.0
2021-01-28,366.0
2021-01-29,363.0
2021-02-01,364.0
2021-02-02,375.0
2021-02-03,395.0
2021-02-04,402.0
2021-02-05,408.0
2021-02-08,420.0
2021-02-09,422.0
2021-02-10,406.0
2021-02-11,407.0
2021-02-12,403.0
2021-02-16,403.0
2021-02-17,383.0
2021-02-18,390.0
2021-02-19,384.5
2021-02-22,379.0
2021-02-23,350.0
2021-02-24,348.0
2021-02-25,342.0
2021-02-26,332.0
2021-03-01,359.0
2021-03-02,324.0
2021-03-03,306.0
2021-03-04,297.0
2021-03-05,308.0
2021-03-08,295.0
2021-03-09,307.0
2021-03-10,315.0
2021-03-11,334.0
2021-03-12,331.0
2021-03-15,340.0
2021-03-16,341.0
2021-03-17,346.0
2021-03-18,333.0
2021-03-19,345.0
2021-03-22,346.0
2021-03-23,313.0
2021-03-24,291.0
2021-03-25,311.0
2021-03-26,304.0
2021-03-29,289.0
2021-03-30,290.0
2021-03-31,301.0
2021-04-01,317.0
2021-04-05,317.0
2021-04-06,311.0
2021-04-07,318.0
2021-04-08,310.0
2021-04-09,289.0
2021-04-12,259.0
2021-04-13,253.0
2021-04-14,263.0
2021-04-15,255.0
2021-04-16,261.0
2021-04-19,247.0
2021-04-20,250.0
2021-04-21,261.0
2021-04-22,253.0
2021-04-23,252.0
2021-04-26,263.0
2021-04-27,259.0
2021-04-28,258.0
2021-04-29,250.0
2021-04-30,240.0
2021-05-03,240.0
2021-05-04,232.0
2021-05-05,237.0
2021-05-06,230.0
2021-05-07,228.0
2021-05-10,216.0
2021-05-11,223.0
2021-05-12,225.0
2021-05-13,252.0
2021-05-14,241.0
2021-05-17,243.0
2021-05-18,255.0
2021-05-19,253.0
2021-05-20,245.0
2021-05-21,252.0
2021-05-24,241.0
2021-05-25,227.0
2021-05-26,238.0
2021-05-27,246.0
2021-05-28,255.0
2021-06-01,256.0
2021-06-02,254.0
2021-06-03,269.0
2021-06-04,260.0
2021-06-07,261.0
2021-06-08,268.0
2021-06-09,271.0
2021-06-10,279.0
2021-06-11,275.0
2021-06-14,273.0
2021-06-15,258.0
2021-06-16,254.0
2021-06-17,244.0
2021-06-18,233.0
2021-06-21,238.0
2021-06-22,234.0
2021-06-23,235.0
2021-06-24,248.0
2021-06-25,251.0
2021-06-28,239.0
2021-06-29,236.0
2021-06-30,232.0
2021-07-01,231.0
2021-07-02,228.0
2021-07-06,223.0
2021-07-07,212.0
2021-07-08,216.0
2021-07-09,224.0
2021-07-12,216.0
2021-07-13,216.0
2021-07-14,210.0
2021-07-15,203.0
2021-07-16,203.0
2021-07-19,208.0
2021-07-20,208.0
2021-07-21,217.0
2021-07-22,212.0
2021-07-23,211.0
2021-07-26,204.0
2021-07-27,202.0
2021-07-28,205.0
2021-07-29,206.0
2021-07-30,202.0
2021-08-02,201.0
2021-08-03,203.0
2021-08-04,197.0
2021-08-05,215.0
2021-08-06,206.0
2021-08-09,206.0
2021-08-10,202.0
2021-08-11,202.0
2021-08-12,203.0
2021-08-13,198.0
2021-08-16,189.0
2021-08-17,187.0
2021-08-18,188.0
2021-08-19,180.0
2021-08-20,185.0
2021-08-23,195.0
2021-08-24,192.0
2021-08-25,199.0
2021-08-26,201.0
2021-08-27,201.0
2021-08-30,207.0
2021-08-31,222.0
2021-09-01,222.0
2021-09-02,227.0
2021-09-03,234.0
2021-09-07,225.0
2021-09-08,231.0
2021-09-09,228.0
2021-09-10,225.0
2021-09-13,229.0
2021-09-14,216.0
2021-09-15,214.0
2021-09-16,209.0
2021-09-17,226.0
2021-09-20,211.0
2021-09-21,222.0
2021-09-22,222.0
2021-09-23,229.0
